Records,Type,Value,
www.libreriaeditricevaticana.va,A,185.152.70.44,
www.museivaticani.va,CNAME,mv-disp.spc.va,
www.museopropagandafide.va,CNAME,irvproxy-ngx.catholica.va,
www.musicasacra.va,CNAME,cu-disp.spc.va,
www.news.va,CNAME,rvproxy-inter.spc.va,
www.novaevangelizatio.va,CNAME,cu-disp.spc.va,
www.obolodisanpietro.va,A,185.152.70.19,
www.october2019.va,CNAME,cms-disp.spc.va,
www.oessh.va,CNAME,cu-disp.spc.va,
www.orientchurch.va,A,212.77.4.145,
www.orientchurch.va,TXT,_globalsign-domain-verification=YD57tqFyjiYomonZAFkGEV6I9wzLP5oK8sAT6ByRcB,
www.paess.va,CNAME,cu-disp.spc.va,
www.pas.va,CNAME,cu-disp.spc.va,
www.pass.va,CNAME,cu-disp.spc.va,
www.past.va,CNAME,cu-disp.spc.va,
www.pccs.va,CNAME,irvproxy.catholica.va,
www.pcf.va,CNAME,www.vatican.va,
www.pcpne.va,CNAME,cu-disp.spc.va,
www.penitenzieria.va,CNAME,cu-disp.spc.va,
www.peterspence.va,CNAME,www.obolodisanpietro.va,
www.photo.va,CNAME,photo.vaticanmedia.va,
www.photogallery.va,CNAME,wcm-disp.spc.va,
www.popesprayer.va,A,212.77.5.15,
www.ppoomm.va,A,185.152.70.17,
www.prefectureeconomicaffairs.va,CNAME,cu-disp.spc.va,
www.priesterkolleg.va,CNAME,cu-disp.spc.va,
www.protectionofminors.va,CNAME,cu-disp.spc.va,
www.protocollosds.va,A,212.77.14.9,
www.rotaromana.va,CNAME,cu-disp.spc.va,
www.santanna.va,CNAME,irvproxy-ngx.catholica.va,
www.santosepolcro.va,CNAME,cu-disp.spc.va,
www.santuarioloreto.va,CNAME,cms-disp-s.spc.va,
www.scavi.va,CNAME,cu-disp.spc.va,
www.scuolavaticanapaleografia.va,CNAME,cu-disp.spc.va,
www.sdsofficium.va,TXT,_globalsign-domain-verification=vBqqAa0UXGjdD5MPd7TC98j2VjRQuXmyNWtKM0y2zG,
www.shades-acdf.va,A,212.77.4.43,
www.shades-acdf.va,TXT,_globalsign-domain-verification=_zgpi-vdvG25avjpaE62f57kYyZyC2oL0u2hy570ts,
www.sigri.va,CNAME,irvp-86-sigri.catholica.va.,
www.sinodoamazonico.va,CNAME,cu-disp.spc.va,
www.sistinechapel.va,CNAME,mv.vatican.va,
www.sixtinischekapelle.va,CNAME,mv.vatican.va,
www.spc.va,CNAME,cms-disp.spc.va.,
www.synod.va,CNAME,cu-disp.spc.va,
www.synod2018.va,CNAME,cu-disp.spc.va,
www.test23111973.va,CNAME,seraphin.vatican.va,
www.theologia.va,CNAME,cu-disp.spc.va,
www.thepopevideo.va,A,212.77.4.61,
www.tutelademenores.va,CNAME,cu-disp.spc.va,
www.tutelaminorum.va,CNAME,cu-disp.spc.va,
www.ufn.va,A,212.77.4.51,
www.ufn.va,TXT,_globalsign-domain-verification=rsGpvqj7P_aiPA7_JH3n-jIJM38Mk7sVJf45yrokeg,
www.ulsa.va,CNAME,cu-disp.spc.va,
www.va,CNAME,www.vatican.va,
www.vatican-stg.va,CNAME,iwc2.vatican-stg.va.,
www.vatican.va,CNAME,wcm-disp.spc.va,
www.vaticanlibrary.va,A,212.77.5.67,
www.vaticanlibrary.va,TXT,_globalsign-domain-verification=jFx08sFIsoQE69yB3FtiMPqw6mussyEiuVjRRQQKel,
www.vaticanlibrary.va,A,212.77.5.67,
www.vaticanlibrary.va,TXT,_globalsign-domain-verification=jFx08sFIsoQE69yB3FtiMPqw6mussyEiuVjRRQQKel,
www.vaticannews.va,CNAME,www-vn.azureedge.net,
www.vaticanobservatory.va,CNAME,cu-disp.spc.va,
www.vaticanstate.va,A,212.77.4.171,
www.vaticanstate.va,TXT,_globalsign-domain-verification=1En8hu/v9GQhtHebn8M+oWj9hx3/Wf19jhEm/R6hgho=,
www.villepontificie.va,TXT,globalsign-domain-verification=6cVEsRrLu0yWlXV2-LzBuLLF9t03tjm9sXdfOZ2gJg,
www.wyd.va,CNAME,idispatcher.catholica.va,
www.xn--academiadascincias-6wb.va,CNAME,cu-disp.spc.va,
www.xn--ppstlicheakademiederwissenschaften-b4c.va,CNAME,cu-disp.spc.va,
www.yearoffaith.va,CNAME,cu-disp.spc.va,
www2-stg.vatican.va,CNAME,wcm-stg.catholica.va,
wyd.va,MX,mx11.vatican.va,
wyd.va,MX,mx12.vatican.va,
wyd.va,TXT,_globalsign-domain-verification=TW70cZEdu5GmVQGixT0aZ18qv4mOz2gjwLRY0WtEll,
wyd.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
zoom-stg-mmr-01.spc.va,A,185.152.70.192,
zoom-stg.spc.va,A,185.152.70.191,
zoom.museivaticani.va,CNAME,irvproxy.catholica.va,
